Subsystem,Emissions
HydrogenProduction,1623.15
SyngasCompression,2017718.55
HaberBoschUnit,10723217.45
CoolingSubsystem,1005.5
ASU,391441.25
HydrogenProduction,1623.15
SyngasCompression,2017718.55
HaberBoschUnit,10723217.45
CoolingSubsystem,1005.5
ASU,291366.9
HydrogenProduction,3795.35
SyngasCompression,980087.8
HaberBoschUnit,16114235.84
CoolingSubsystem,557.15
ASU,291366.9
HydrogenProduction,3795.35
SyngasCompression,980087.8
HaberBoschUnit,16114235.84
CoolingSubsystem,557.15
ASU,285602.05
HydrogenProduction,2962.6
SyngasCompression,1145506.4
HaberBoschUnit,10453729.47
CoolingSubsystem,848.0
ASU,285602.05
HydrogenProduction,2962.6
SyngasCompression,1145506.4
HaberBoschUnit,10453729.47
CoolingSubsystem,848.0
ASU,386105.55
HydrogenProduction,1614.9
SyngasCompression,907383.7
HaberBoschUnit,9339600.53
CoolingSubsystem,460.65
ASU,386105.55
HydrogenProduction,1614.9
SyngasCompression,907383.7
HaberBoschUnit,9339600.53
CoolingSubsystem,460.65
ASU,350592.3
HydrogenProduction,2385.4
SyngasCompression,1035104.3
HaberBoschUnit,9827449.61
CoolingSubsystem,717.15
ASU,350592.3
HydrogenProduction,2385.4
SyngasCompression,1035104.3
HaberBoschUnit,9827449.61
CoolingSubsystem,717.15
ASU,358078.3
HydrogenProduction,2072.95
SyngasCompression,982373.15
HaberBoschUnit,9467410.71
CoolingSubsystem,474.0
ASU,358078.3
HydrogenProduction,2072.95
SyngasCompression,982373.15
HaberBoschUnit,9467410.71
CoolingSubsystem,474.0
ASU,401928.2
HydrogenProduction,3836.15
SyngasCompression,725075.05
HaberBoschUnit,13291438.24
CoolingSubsystem,596.0
ASU,401928.2
HydrogenProduction,3836.15
SyngasCompression,725075.05
HaberBoschUnit,13291438.24
CoolingSubsystem,596.0
ASU,386775.4
HydrogenProduction,1683.55
SyngasCompression,1772507.3
HaberBoschUnit,7751734.81
CoolingSubsystem,568.2
ASU,386775.4
HydrogenProduction,1683.55
SyngasCompression,1772507.3
HaberBoschUnit,7751734.81
CoolingSubsystem,568.2
ASU,257110.4
HydrogenProduction,2908.95
SyngasCompression,1448203.5
HaberBoschUnit,9654822.42
CoolingSubsystem,852.0
ASU,257110.4
HydrogenProduction,2908.95
SyngasCompression,1448203.5
HaberBoschUnit,9654822.42
CoolingSubsystem,852.0
ASU,369840.0
HydrogenProduction,1848.25
SyngasCompression,1240650.25
HaberBoschUnit,8261511.56
CoolingSubsystem,913.35
ASU,369840.0
HydrogenProduction,1848.25
SyngasCompression,1240650.25
HaberBoschUnit,8261511.56
CoolingSubsystem,913.35
ASU,433451.0
HydrogenProduction,2119.65
SyngasCompression,679735.2
HaberBoschUnit,15189751.46
CoolingSubsystem,581.95
ASU,433451.0
HydrogenProduction,2119.65
SyngasCompression,679735.2
HaberBoschUnit,15189751.46
CoolingSubsystem,581.95
ASU,372619.35
HydrogenProduction,4414.2
SyngasCompression,1160451.65
HaberBoschUnit,6529769.4
CoolingSubsystem,1043.9
ASU,372619.35
HydrogenProduction,4414.2
SyngasCompression,1160451.65
HaberBoschUnit,6529769.4
CoolingSubsystem,1043.9
ASU,425843.05
HydrogenProduction,2843.85
SyngasCompression,1216832.9
HaberBoschUnit,8490273.14
CoolingSubsystem,962.25
ASU,425843.05
HydrogenProduction,2843.85
SyngasCompression,1216832.9
HaberBoschUnit,8490273.14
CoolingSubsystem,962.25
ASU,366002.0
HydrogenProduction,4067.75
SyngasCompression,1920336.35
HaberBoschUnit,6551337.04
CoolingSubsystem,459.3
ASU,366002.0
HydrogenProduction,4067.75
SyngasCompression,1920336.35
HaberBoschUnit,6551337.04
CoolingSubsystem,459.3
ASU,371749.9
HydrogenProduction,2985.95
SyngasCompression,1659986.35
HaberBoschUnit,7263471.77
CoolingSubsystem,809.05
ASU,371749.9
HydrogenProduction,2985.95
SyngasCompression,1659986.35
HaberBoschUnit,7263471.77
CoolingSubsystem,809.05
ASU,314533.0
HydrogenProduction,2690.4
SyngasCompression,787691.85
HaberBoschUnit,9693824.58
CoolingSubsystem,749.1
ASU,314533.0
HydrogenProduction,2690.4
SyngasCompression,787691.85
HaberBoschUnit,9693824.58
CoolingSubsystem,749.1
ASU,239916.6
HydrogenProduction,2833.0
SyngasCompression,1230162.8
HaberBoschUnit,11808087.17
CoolingSubsystem,792.85
ASU,239916.6
HydrogenProduction,2833.0
SyngasCompression,1230162.8
HaberBoschUnit,11808087.17
CoolingSubsystem,792.85
ASU,312277.95
HydrogenProduction,3420.8
SyngasCompression,1707269.1
HaberBoschUnit,8058026.2
CoolingSubsystem,500.6
ASU,312277.95
HydrogenProduction,3420.8
SyngasCompression,1707269.1
HaberBoschUnit,8058026.2
CoolingSubsystem,500.6
ASU,247389.2
HydrogenProduction,1874.8
SyngasCompression,597964.95
HaberBoschUnit,11210539.8
CoolingSubsystem,370.35
ASU,247389.2
HydrogenProduction,1874.8
SyngasCompression,597964.95
HaberBoschUnit,11210539.8
CoolingSubsystem,370.35
ASU,487771.5
HydrogenProduction,3256.7
SyngasCompression,1221902.1
HaberBoschUnit,5473070.08
CoolingSubsystem,347.6
ASU,487771.5
HydrogenProduction,3256.7
SyngasCompression,1221902.1
HaberBoschUnit,5473070.08
CoolingSubsystem,347.6
ASU,393809.4
HydrogenProduction,3446.8
SyngasCompression,1712020.7
HaberBoschUnit,12949273.55
CoolingSubsystem,609.5
ASU,393809.4
HydrogenProduction,3446.8
SyngasCompression,1712020.7
HaberBoschUnit,12949273.55
