Subsystem,Emissions
ASU,11032.3
HydrogenProduction,113.9
SyngasCompression,50846.05
HaberBoschUnit,261594.37
CoolingSubsystem,33.1
ASU,11032.3
HydrogenProduction,113.9
SyngasCompression,50846.05
HaberBoschUnit,261594.37
CoolingSubsystem,33.1
ASU,8010.65
HydrogenProduction,66.35
SyngasCompression,45170.0
HaberBoschUnit,406701.47
CoolingSubsystem,48.25
ASU,8010.65
HydrogenProduction,66.35
SyngasCompression,45170.0
HaberBoschUnit,406701.47
CoolingSubsystem,48.25
ASU,10800.8
HydrogenProduction,110.4
SyngasCompression,41426.75
HaberBoschUnit,251095.86
CoolingSubsystem,19.35
ASU,10800.8
HydrogenProduction,110.4
SyngasCompression,41426.75
HaberBoschUnit,251095.86
CoolingSubsystem,19.35
ASU,13176.05
HydrogenProduction,141.4
SyngasCompression,63667.4
HaberBoschUnit,332614.94
CoolingSubsystem,26.45
ASU,13176.05
HydrogenProduction,141.4
SyngasCompression,63667.4
HaberBoschUnit,332614.94
CoolingSubsystem,26.45
ASU,12181.55
HydrogenProduction,71.35
SyngasCompression,70731.1
HaberBoschUnit,649994.81
CoolingSubsystem,26.75
ASU,12181.55
HydrogenProduction,71.35
SyngasCompression,70731.1
HaberBoschUnit,649994.81
CoolingSubsystem,26.75
ASU,10079.4
HydrogenProduction,60.9
SyngasCompression,86676.55
HaberBoschUnit,472779.62
CoolingSubsystem,23.0
ASU,10079.4
HydrogenProduction,60.9
SyngasCompression,86676.55
HaberBoschUnit,472779.62
CoolingSubsystem,23.0
ASU,14474.45
HydrogenProduction,80.65
SyngasCompression,56018.2
HaberBoschUnit,486235.79
CoolingSubsystem,18.5
ASU,14474.45
HydrogenProduction,80.65
SyngasCompression,56018.2
HaberBoschUnit,486235.79
CoolingSubsystem,18.5
ASU,9367.8
HydrogenProduction,84.0
SyngasCompression,48646.05
HaberBoschUnit,437906.06
CoolingSubsystem,42.2
ASU,9367.8
HydrogenProduction,84.0
SyngasCompression,48646.05
HaberBoschUnit,437906.06
CoolingSubsystem,42.2
ASU,15641.45
HydrogenProduction,88.2
SyngasCompression,57171.95
HaberBoschUnit,432576.3
CoolingSubsystem,40.4
ASU,15641.45
HydrogenProduction,88.2
SyngasCompression,57171.95
HaberBoschUnit,432576.3
CoolingSubsystem,40.4
ASU,16528.55
HydrogenProduction,157.95
SyngasCompression,51674.1
HaberBoschUnit,603566.76
CoolingSubsystem,29.45
ASU,16528.55
HydrogenProduction,157.95
SyngasCompression,51674.1
HaberBoschUnit,603566.76
CoolingSubsystem,29.45
ASU,16347.85
HydrogenProduction,62.35
SyngasCompression,58207.3
HaberBoschUnit,359564.36
CoolingSubsystem,41.1
ASU,16347.85
HydrogenProduction,62.35
SyngasCompression,58207.3
HaberBoschUnit,359564.36
CoolingSubsystem,41.1
ASU,8493.7
HydrogenProduction,124.25
SyngasCompression,69470.5
HaberBoschUnit,488920.01
CoolingSubsystem,33.2
ASU,8493.7
HydrogenProduction,124.25
SyngasCompression,69470.5
HaberBoschUnit,488920.01
CoolingSubsystem,33.2
ASU,14852.9
HydrogenProduction,96.25
SyngasCompression,56385.4
HaberBoschUnit,296603.49
CoolingSubsystem,28.3
ASU,14852.9
HydrogenProduction,96.25
SyngasCompression,56385.4
HaberBoschUnit,296603.49
CoolingSubsystem,28.3
ASU,15587.65
HydrogenProduction,85.2
SyngasCompression,78040.5
HaberBoschUnit,338333.16
CoolingSubsystem,37.35
ASU,15587.65
HydrogenProduction,85.2
SyngasCompression,78040.5
HaberBoschUnit,338333.16
CoolingSubsystem,37.35
ASU,10223.95
HydrogenProduction,99.4
SyngasCompression,39733.3
HaberBoschUnit,303694.7
CoolingSubsystem,24.0
ASU,10223.95
HydrogenProduction,99.4
SyngasCompression,39733.3
HaberBoschUnit,303694.7
CoolingSubsystem,24.0
ASU,11757.75
HydrogenProduction,113.8
SyngasCompression,60930.7
HaberBoschUnit,474544.18
CoolingSubsystem,27.25
ASU,11757.75
HydrogenProduction,113.8
SyngasCompression,60930.7
HaberBoschUnit,474544.18
CoolingSubsystem,27.25
ASU,12836.2
HydrogenProduction,142.3
SyngasCompression,38484.05
HaberBoschUnit,275754.95
CoolingSubsystem,20.9
ASU,12836.2
HydrogenProduction,142.3
SyngasCompression,38484.05
HaberBoschUnit,275754.95
CoolingSubsystem,20.9
ASU,10704.35
HydrogenProduction,192.4
SyngasCompression,57320.8
HaberBoschUnit,554906.35
CoolingSubsystem,24.75
ASU,10704.35
HydrogenProduction,192.4
SyngasCompression,57320.8
HaberBoschUnit,554906.35
CoolingSubsystem,24.75
ASU,20380.85
HydrogenProduction,60.2
SyngasCompression,68031.5
HaberBoschUnit,391951.32
CoolingSubsystem,27.7
ASU,20380.85
HydrogenProduction,60.2
SyngasCompression,68031.5
HaberBoschUnit,391951.32
CoolingSubsystem,27.7
ASU,24993.1
HydrogenProduction,65.8
SyngasCompression,42912.0
HaberBoschUnit,505766.7
CoolingSubsystem,29.7
ASU,24993.1
HydrogenProduction,65.8
SyngasCompression,42912.0
HaberBoschUnit,505766.7
CoolingSubsystem,29.7
ASU,23868.25
HydrogenProduction,86.85
SyngasCompression,56571.25
HaberBoschUnit,395488.6
CoolingSubsystem,29.45
ASU,23868.25
HydrogenProduction,86.85
SyngasCompression,56571.25
HaberBoschUnit,395488.6
CoolingSubsystem,29.45
ASU,13236.6
HydrogenProduction,113.5
SyngasCompression,29452.4
HaberBoschUnit,344642.83
CoolingSubsystem,34.2
ASU,13236.6
HydrogenProduction,113.5
SyngasCompression,29452.4
HaberBoschUnit,344642.83
CoolingSubsystem,34.2
ASU,9450.75
HydrogenProduction,82.15
SyngasCompression,64775.0
HaberBoschUnit,800009.72
CoolingSubsystem,35.3
ASU,9450.75
HydrogenProduction,82.15
SyngasCompression,64775.0
HaberBoschUnit,800009.72
CoolingSubsystem,35.3
ASU,10853.6
HydrogenProduction,104.1
SyngasCompression,38263.5
HaberBoschUnit,249841.32
CoolingSubsystem,17.5
ASU,10853.6
HydrogenProduction,104.1
SyngasCompression,38263.5
HaberBoschUnit,249841.32
CoolingSubsystem,17.5
ASU,21746.5
HydrogenProduction,101.05
SyngasCompression,45088.25
HaberBoschUnit,333212.64
CoolingSubsystem,20.05
ASU,21746.5
HydrogenProduction,101.05
SyngasCompression,45088.25
HaberBoschUnit,333212.64
CoolingSubsystem,20.05
ASU,8203.85
HydrogenProduction,216.1
SyngasCompression,41454.0
HaberBoschUnit,382543.54
CoolingSubsystem,16.95
ASU,8203.85
HydrogenProduction,216.1
SyngasCompression,41454.0
HaberBoschUnit,382543.54
CoolingSubsystem,16.95
ASU,20585.8
HydrogenProduction,90.4
SyngasCompression,83271.4
HaberBoschUnit,246568.91
CoolingSubsystem,31.1
ASU,20585.8
HydrogenProduction,90.4
SyngasCompression,83271.4
HaberBoschUnit,246568.91
CoolingSubsystem,31.1
ASU,16960.15
HydrogenProduction,104.5
